Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
Jaren Jackson Jr.,C,C,24,66.0,32.2,71.88,78.3,72.86,81.71,75.7,25257798,3.0
Ja Morant,PG,PG,24,9.0,35.3,77.36,70.44,92.99,56.91,75.45,36725670,2.05
Jalen Duren,C,C,20,61.0,29.1,73.94,94.18,66.83,64.02,75.24,4536840,16.58
James Harden,PG,PG,34,72.0,34.3,60.91,80.15,90.9,70.97,75.23,33653846,2.24
Jamal Murray,PG,PG,26,59.0,31.5,74.21,64.43,85.36,77.21,75.15,36016200,2.09
Karl-Anthony Towns,PF,PF,28,62.0,32.7,77.4,78.77,72.69,69.65,75.02,49205800,1.52
Brandon Ingram,SF,SF,26,64.0,32.9,73.15,64.28,82.8,80.93,74.9,36016200,2.08
Mikal Bridges,SF,SF,27,82.0,34.8,66.41,64.74,80.64,92.79,74.83,23300000,3.21
Jalen Williams,PF,PF,22,71.0,31.300000000000004,80.92,59.96,79.14,78.26,74.7,4775760,15.64
Julius Randle,PF,PF,29,46.0,35.4,71.74,74.14,83.34,68.66,74.62,33073920,2.26
Ivica Zubac,C,C,26,68.0,26.4,79.62,81.39,63.97,70.44,74.31,11743210,6.33
Trae Young,PG,PG,25,54.0,36.0,69.13,49.02,97.89,84.1,74.29,43031940,1.73
Franz Wagner,SF,SF,22,72.0,32.5,74.7,65.2,78.42,79.89,74.29,7007092,10.6
Stephen Curry,PG,PG,35,74.0,32.7,80.43,60.42,80.75,71.83,73.79,55761216,1.32
Jabari Smith Jr.,PF,PF,20,76.0,31.9,62.22,81.39,73.37,80.87,73.53,9770880,7.53
Derrick White,SG,SG,29,73.0,32.6,65.19,72.29,83.24,74.95,73.43,20071429,3.66
Clint Capela,C,C,29,73.0,25.8,69.42,92.79,67.52,62.15,73.33,22265280,3.29
Devin Vassell,SG,SG,23,68.0,33.1,71.84,64.28,81.14,76.79,73.26,29347826,2.5
Kyle Kuzma,PF,PF,28,70.0,32.6,68.1,73.37,78.37,74.09,73.18,24456061,2.99
Coby White,PG,PG,23,79.0,36.5,66.2,50.56,86.77,93.68,72.93,12000000,6.08
Brook Lopez,C,C,35,79.0,30.5,65.02,84.78,71.65,70.89,72.79,23000000,3.16
Keegan Murray,SF,SF,23,77.0,33.6,65.92,65.82,78.89,83.19,72.59,8809560,8.24
John Collins,PF,PF,26,68.0,28.0,73.82,78.0,65.84,71.76,72.46,26580000,2.73
Mark Williams,C,C,22,19.0,26.7,85.9,83.24,68.22,42.12,72.06,4094280,17.6
Deni Avdija,SF,SF,23,75.0,30.1,62.72,76.61,72.04,78.8,71.74,15625000,4.59
